"strain","plasmid coverage"
"C321",0
"CS01",0
"CS02",0
"CS03",0
"CS04",0
"CS05",0
"CS06",0
"ERR152024",0
"ERR152025",0
"ERR152026",0
"ERR152027",0
"ERR152028",0
"ERR152029",0
"ERR152030",0
"ERR152031",0
"ERR152032",0
"ERR152033",0
"ERR181299",0
"ERR181301",0.000536135535063264
"Escherichia_coli_ED1a_uid59379",0.00212667095575095
"Escherichia_coli_HS_uid58393",0.0166380727714633
"Escherichia_coli_IAI1_uid59377",0
"Escherichia_coli_O83_H1_NRG_857C_uid161987",0
"Escherichia_coli_SE11_uid59425",0
"Escherichia_coli_UM146_uid162043",0
"GUTCD_33_1_TI5",0
"GUTCD_36_1_TI13",0
"GUTCD_39_2_TI18",0
"GUTCD_41_2_TI13",0
"GUTCD_54_1_TI6",0
"GUTCD_55_1_AU4",0
"GUTCD_55_1_TI19",0
"GUTCD_57_3_TI5",0
"GUTCD_69_1_TI1",0.853456287082708
"GUTCD_70_2_TI12",0.853456287082708
"GUTCD_CD_1IM_3",0
"GUTCD_CD_34_LN",0
"GUTCD_CD_64_LN",0
"H605",0.000536135535063264
"RCE01",0.0167452998784759
"RCE02",0.884909571806419
"RCE03",0
"RCE04",0.0167452998784759
"RCE05",0
"RCE06",0
"RCE07",0
"RCE08",0
"RCE10",0
"RCE11",0
"TW15838",0
