id	crohnall.yes	crohnall.no	commensal.yes	commensal.no	pvalues	pvalues.adj	pvalues.adj.bh
OG0001409:___Invasin	27	0	24	0	1	1	1
OG0009414:___GTPase_Era	0	27	1	23	0.470588235294118	1	1
OG0007808:___Phosphate_acetyltransferase	0	27	2	22	0.216470588235294	1	1
OG0000984:___Long-chain_acyl-CoA_thioesterase_FadM	27	0	24	0	1	1	1
OG0008391:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0006519:___phage_minor_tail_protein_L	1	26	2	22	0.595486194477791	1	1
OG0003517:___HTH-type_transcriptional_regulator_MatA	24	3	23	1	0.61234093637455	1	1
OG0005865:___hypothetical_protein	3	24	2	22	1	1	1
OG0000181:___Chaperone_protein_ClpB	27	0	24	0	1	1	1
OG0007739:___hypothetical_protein	1	26	1	23	1	1	1
OG0003160:___S-fimbrial_protein_subunit_SfaH	26	1	23	1	1	1	1
OG0002764:___Sec-independent_protein_translocase_protein_TatA	27	0	24	0	1	1	1
OG0006559:___hypothetical_protein	2	25	2	22	1	1	1
OG0004220:___Outer_membrane_porin_protein_OmpD_precursor	11	16	12	12	0.579598612712806	1	1
OG0004575:___ProQ/FINO_family_protein	10	17	5	19	0.234992863922461	1	1
OG0006380:___hypothetical_protein	3	24	1	23	0.61234093637455	1	1
OG0006858:___30S_ribosomal_protein_S2	0	27	3	21	0.0971908763505402	1	1
OG0007818:___hypothetical_protein	1	26	1	23	1	1	1
OG0011791:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005257:___hypothetical_protein	7	20	3	21	0.300429523615483	1	1
OG0008336:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0002901:___Zinc_uptake_regulation_protein	27	0	24	0	1	1	1
OG0005137:___hypothetical_protein	9	18	3	21	0.105369667447964	1	1
OG0001042:___Cation_efflux_system_protein_CusC_precursor	27	0	24	0	1	1	1
OG0000565:___Ribosomal_RNA_large_subunit_methyltransferase_I	27	0	24	0	1	1	1
OG0010681:___hypothetical_protein	1	26	0	24	1	1	1
OG0007468:___Flagellar_hook-associated_protein_1	0	27	2	22	0.216470588235294	1	1
OG0000044:___Type-1_fimbrial_protein,_A_chain_precursor	27	0	24	0	1	1	1
OG0009849:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004204:___hypothetical_protein	18	9	8	16	0.0254493510232955	1	1
OG0003208:___Glycosyltransferase_family_9_(heptosyltransferase)	26	1	22	2	0.595486194477791	1	1
OG0001945:___hypothetical_protein	27	0	24	0	1	1	1
OG0000514:___DNA_replication_protein_DnaC	27	0	24	0	1	1	1
OG0002780:___Thiol:disulfide_interchange_protein_DsbA_precursor	27	0	24	0	1	1	1
OG0004904:___YHS_domain_protein	10	17	4	20	0.126921221415758	1	1
OG0000245:___Lipoprotein-releasing_system_transmembrane_protein_LolC	27	0	24	0	1	1	1
OG0004296:___RNA_one_modulator	8	19	6	18	0.762242386485254	1	1
OG0011206:___hypothetical_protein	1	26	0	24	1	1	1
OG0004013:___hypothetical_protein	19	8	11	13	0.0937463860267732	1	1
OG0003066:___Putative_phosphoserine_phosphatase_2	27	0	24	0	1	1	1
OG0000376:___Beta-galactosidase	27	0	24	0	1	1	1
OG0005293:___hypothetical_protein	2	25	8	16	0.0325828500623406	1	1
OG0005909:___Cupin_domain_protein	4	23	2	22	0.671272764424919	1	1
OG0004761:___Putative_glycosyltransferase_EpsE	6	21	8	16	0.531089151123695	1	1
OG0001073:___Citrate_lyase_acyl_carrier_protein	27	0	24	0	1	1	1
OG0007750:___hypothetical_protein	1	26	1	23	1	1	1
OG0011153:___5-hydroxyisourate_hydrolase_precursor	1	26	0	24	1	1	1
OG0004631:___hypothetical_protein	7	20	10	14	0.253644997074527	1	1
OG0005598:___Replicative_DNA_helicase	6	21	1	23	0.103411407116038	1	1
OG0000972:___Protoheme_IX_farnesyltransferase	27	0	24	0	1	1	1
OG0007088:___Secretion_system_effector_C_(SseC)_like_family_protein	0	27	3	21	0.0971908763505402	1	1
OG0008542:___Putative_ABC_transporter_arginine-binding_protein_2_precursor	2	25	0	24	0.491764705882353	1	1
OG0005747:___hypothetical_protein	5	22	2	22	0.424727337743608	1	1
OG0002624:___Serine_acetyltransferase	27	0	24	0	1	1	1
OG0007471:___hypothetical_protein	1	26	1	23	1	1	1
OG0005268:___HTH-type_transcriptional_regulator_GadW	8	19	2	22	0.0805367174083884	1	1
OG0004727:___Immunoglobulin_I-set_domain_protein	7	20	6	18	1	1	1
OG0003242:___Regulatory_protein_Spx	27	0	23	1	0.470588235294118	1	1
OG0007564:___Threonine--tRNA_ligase	1	26	1	23	1	1	1
OG0010495:___hypothetical_protein	1	26	0	24	1	1	1
OG0005069:___Transcriptional_activatory_protein_BadR	3	24	9	15	0.0456157698715068	1	1
OG0001653:___hypothetical_protein	27	0	24	0	1	1	1
OG0008492:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0010119:___3-demethylubiquinone-9_3-O-methyltransferase	0	27	1	23	0.470588235294118	1	1
OG0003759:___Poly-beta-1,6-N-acetyl-D-glucosamine_export_protein_precursor	22	5	17	7	0.511276016664133	1	1
OG0001384:___Fatty_acid_metabolism_regulator_protein	27	0	24	0	1	1	1
OG0005254:___hypothetical_protein	5	22	5	19	1	1	1
OG0005660:___hypothetical_protein	1	26	6	18	0.0420489898086894	1	1
OG0010646:___hypothetical_protein	1	26	0	24	1	1	1
OG0007657:___hypothetical_protein	1	26	1	23	1	1	1
OG0010452:___hypothetical_protein	1	26	0	24	1	1	1
OG0011000:___hypothetical_protein	1	26	0	24	1	1	1
OG0001572:___Ribonuclease_T	27	0	24	0	1	1	1
OG0002442:___30S_ribosomal_protein_S17	27	0	24	0	1	1	1
OG0006840:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0011879:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004290:___Bacteriophage_Mu_Gp45_protein	11	16	9	15	1	1	1
OG0000879:___UDP-3-O-(3-hydroxymyristoyl)glucosamine_N-acyltransferase	27	0	24	0	1	1	1
OG0008960:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005675:___hypothetical_protein	5	22	2	22	0.424727337743608	1	1
OG0000247:___Aromatic_amino_acid_exporter_YddG	27	0	24	0	1	1	1
OG0009796:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003056:___Purine_nucleoside_phosphorylase_DeoD-type	27	0	24	0	1	1	1
OG0008095:___hypothetical_protein	1	26	1	23	1	1	1
OG0008868:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011331:___Allantoin_transport_protein	1	26	0	24	1	1	1
OG0006914:___hypothetical_protein	1	26	2	22	0.595486194477791	1	1
OG0008810:___carbamate_kinase	0	27	1	23	0.470588235294118	1	1
OG0000140:___Putative_pyrimidine_permease_RutG	26	1	24	0	1	1	1
OG0008474:___Activator_of_ntr-like_gene_protein	2	25	0	24	0.491764705882353	1	1
OG0004903:___Sigma-70,_region_4	10	17	4	20	0.126921221415758	1	1
OG0006077:___major_facilitator_superfamily_transporter	2	25	3	21	0.656330617353324	1	1
OG0002950:___Inner_membrane_protein_YjeH	27	0	24	0	1	1	1
OG0011347:___hypothetical_protein	1	26	0	24	1	1	1
OG0007534:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0009670:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006992:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0010904:___Adenine_deaminase	1	26	0	24	1	1	1
OG0003269:___DNA-binding_transcriptional_activator_GutM	27	0	23	1	0.470588235294118	1	1
OG0006386:___Beta-1,6-galactofuranosyltransferase_WbbI	1	26	3	21	0.331428571428571	1	1
OG0006870:___hypothetical_protein	2	25	1	23	1	1	1
OG0001913:___hypothetical_protein	27	0	24	0	1	1	1
OG0009065:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0000402:___DNA_replication_and_repair_protein_RecF	27	0	24	0	1	1	1
OG0003133:___Flagella_basal_body_P-ring_formation_protein_FlgA_precursor	27	0	23	1	0.470588235294118	1	1
