Operon	Gene	Location	Strand	Length	Gene	Synonym	Code	COG	Product	
1 	prok_00001 	1..2463 	+ 	2463 	thrA 	prok_00001 	- 	- 	Aspartokinase I/homoserine dehydrogenase I
1 	prok_00002 	2465..3397 	+ 	933 	thrB 	prok_00002 	- 	- 	Homoserine kinase
1 	prok_00003 	3398..4684 	+ 	1287 	thrC 	prok_00003 	- 	- 	Threonine synthase
2 	prok_00004 	4898..5194 	+ 	297 	- 	prok_00004 	- 	- 	hypothetical protein
3 	prok_00005 	5244..6020 	- 	777 	- 	prok_00005 	- 	- 	hypothetical protein
3 	prok_00006 	6090..7520 	- 	1431 	alsT 	prok_00006 	- 	- 	Amino-acid carrier protein AlsT
4 	prok_00007 	7799..8752 	+ 	954 	talB 	prok_00007 	- 	- 	Transaldolase B
4 	prok_00008 	8867..9454 	+ 	588 	mog 	prok_00008 	- 	- 	Molybdopterin adenylyltransferase
5 	prok_00009 	9659..10225 	- 	567 	yaaH 	prok_00009 	- 	- 	Inner membrane protein YaaH
5 	prok_00010 	10374..11087 	- 	714 	- 	prok_00010 	- 	- 	Ubiquinol-cytochrome C chaperone
5 	prok_00011 	11113..11517 	- 	405 	- 	prok_00011 	- 	- 	hypothetical protein
6 	prok_00012 	11889..13805 	+ 	1917 	dnaK_1 	prok_00012 	- 	- 	Heat shock protein 70
6 	prok_00013 	13894..15024 	+ 	1131 	dnaJ 	prok_00013 	- 	- 	Heat shock protein J
7 	prok_00014 	15129..15281 	- 	153 	- 	prok_00014 	- 	- 	small toxic polypeptide
8 	prok_00015 	15896..16657 	+ 	762 	- 	prok_00015 	- 	- 	Nucleoside-specific channel-forming protein, Tsx
8 	prok_00016 	16677..18170 	+ 	1494 	atsA_1 	prok_00016 	- 	- 	Arylsulfatase precursor
8 	prok_00017 	18299..19558 	+ 	1260 	- 	prok_00017 	- 	- 	hypothetical protein
9 	prok_00018 	19793..20959 	+ 	1167 	nhaA 	prok_00018 	- 	- 	Sodium/proton antiporter NhaA
9 	prok_00019 	21025..21924 	+ 	900 	nhaR 	prok_00019 	- 	- 	Na(+)/H(+) antiporter regulatory protein
10 	prok_00020 	22020..22283 	- 	264 	rpsT 	prok_00020 	- 	- 	30S ribosomal protein S20
11 	prok_00021 	22612..23553 	+ 	942 	ribF 	prok_00021 	- 	- 	Riboflavin biosynthesis protein RibF
11 	prok_00022 	23596..26412 	+ 	2817 	ileS 	prok_00022 	- 	- 	Isoleucine--tRNA ligase
11 	prok_00023 	26412..26906 	+ 	495 	lspA 	prok_00023 	- 	- 	Lipoprotein signal peptidase
11 	prok_00024 	27014..27463 	+ 	450 	fkpB 	prok_00024 	- 	- 	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
11 	prok_00025 	27465..28415 	+ 	951 	ispH 	prok_00025 	- 	- 	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
11 	prok_00026 	28481..29395 	+ 	915 	rihC 	prok_00026 	- 	- 	Non-specific ribonucleoside hydrolase RihC
11 	prok_00027 	29418..29783 	+ 	366 	- 	prok_00027 	- 	- 	putative membrane protein
11 	prok_00028 	29944..30765 	+ 	822 	dapB 	prok_00028 	- 	- 	4-hydroxy-tetrahydrodipicolinate reductase
12 	prok_00029 	31221..32369 	+ 	1149 	carA 	prok_00029 	- 	- 	Carbamoyl-phosphate synthase small chain
12 	prok_00030 	32387..35608 	+ 	3222 	carB 	prok_00030 	- 	- 	Carbamoyl-phosphate synthase large chain
13 	prok_00031 	35869..36264 	+ 	396 	- 	prok_00031 	- 	- 	DNA-binding transcriptional activator CaiF
14 	prok_00032 	36383..36973 	- 	591 	dapH 	prok_00032 	- 	- 	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
14 	prok_00033 	36979..37764 	- 	786 	caiD 	prok_00033 	- 	- 	Carnitinyl-CoA dehydratase
14 	prok_00034 	37873..39426 	- 	1554 	lcfB 	prok_00034 	- 	- 	Long-chain-fatty-acid--CoA ligase
14 	prok_00035 	39499..40716 	- 	1218 	caiB 	prok_00035 	- 	- 	Crotonobetainyl-CoA:carnitine CoA-transferase
14 	prok_00036 	40844..41986 	- 	1143 	caiA_1 	prok_00036 	- 	- 	Crotonobetainyl-CoA dehydrogenase
14 	prok_00037 	42017..43531 	- 	1515 	caiT_1 	prok_00037 	- 	- 	L-carnitine/gamma-butyrobetaine antiporter
15 	prok_00038 	44004..44774 	+ 	771 	etfB_1 	prok_00038 	- 	- 	Electron transfer flavoprotein small subunit
15 	prok_00039 	44789..45730 	+ 	942 	etfA_1 	prok_00039 	- 	- 	Electron transfer flavoprotein large subunit
15 	prok_00040 	45781..47067 	+ 	1287 	- 	prok_00040 	- 	- 	Electron transfer flavoprotein-ubiquinone oxidoreductase
15 	prok_00041 	47064..47351 	+ 	288 	- 	prok_00041 	- 	- 	ferredoxin-like protein FixX
15 	prok_00042 	47410..48741 	+ 	1332 	ygcS_1 	prok_00042 	- 	- 	Inner membrane metabolite transport protein YgcS
15 	prok_00043 	48849..49379 	+ 	531 	kefF 	prok_00043 	- 	- 	Glutathione-regulated potassium-efflux system ancillary protein KefF
15 	prok_00044 	49372..51234 	+ 	1863 	kefC 	prok_00044 	- 	- 	K(+)/H(+) antiporter
15 	prok_00045 	51315..51905 	+ 	591 	folA 	prok_00045 	- 	- 	Dihydrofolate reductase
15 	prok_00046 	51991..52224 	+ 	234 	- 	prok_00046 	- 	- 	plasmid maintenance protein CcdA
15 	prok_00047 	52227..52541 	+ 	315 	- 	prok_00047 	- 	- 	plasmid maintenance protein CcdB
16 	prok_00048 	52538..53386 	- 	849 	apaH 	prok_00048 	- 	- 	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
16 	prok_00049 	53393..53770 	- 	378 	- 	prok_00049 	- 	- 	CO2+/MG2+ efflux protein ApaG
16 	prok_00050 	53773..54594 	- 	822 	rsmA 	prok_00050 	- 	- 	Ribosomal RNA small subunit methyltransferase A
16 	prok_00051 	54591..55580 	- 	990 	pdxA 	prok_00051 	- 	- 	4-hydroxythreonine-4-phosphate dehydrogenase
16 	prok_00052 	55580..56866 	- 	1287 	surA 	prok_00052 	- 	- 	Peptidyl-prolyl cis-trans isomerase SurA
16 	prok_00053 	56919..59273 	- 	2355 	lptD 	prok_00053 	- 	- 	Organic solvent tolerance protein
17 	prok_00054 	59462..60343 	+ 	882 	djlA 	prok_00054 	- 	- 	DnaJ-like protein DjlA
18 	prok_00055 	60461..61120 	- 	660 	rluA 	prok_00055 	- 	- 	Ribosomal large subunit pseudouridine synthase A
18 	prok_00056 	61132..64038 	- 	2907 	rapA 	prok_00056 	- 	- 	RNA polymerase-associated protein RapA
18 	prok_00057 	64203..66554 	- 	2352 	polB 	prok_00057 	- 	- 	DNA polymerase II
18 	prok_00058 	66629..67324 	- 	696 	araD 	prok_00058 	- 	- 	L-ribulose-5-phosphate 4-epimerase
18 	prok_00059 	67439..68941 	- 	1503 	araA 	prok_00059 	- 	- 	L-arabinose isomerase
18 	prok_00060 	68952..70652 	- 	1701 	araB 	prok_00060 	- 	- 	Ribulokinase
19 	prok_00061 	70991..71836 	+ 	846 	araC_1 	prok_00061 	- 	- 	Arabinose operon regulatory protein
20 	prok_00062 	72351..73199 	+ 	849 	- 	prok_00062 	- 	- 	hypothetical protein
20 	prok_00063 	73206..73628 	+ 	423 	- 	prok_00063 	- 	- 	hypothetical protein
20 	prok_00064 	73783..74547 	+ 	765 	yabI 	prok_00064 	- 	- 	Inner membrane protein YabI
21 	prok_00065 	74661..75359 	- 	699 	thiQ 	prok_00065 	- 	- 	Thiamine import ATP-binding protein ThiQ
21 	prok_00066 	75343..76953 	- 	1611 	cysW_1 	prok_00066 	- 	- 	Sulfate transport system permease protein CysW
21 	prok_00067 	76929..77912 	- 	984 	thiB 	prok_00067 	- 	- 	Thiamine-binding periplasmic protein precursor
21 	prok_00068 	78076..79731 	- 	1656 	sgrR_1 	prok_00068 	- 	- 	HTH-type transcriptional regulator SgrR
22 	prok_00069 	79820..79951 	+ 	132 	sgrT 	prok_00069 	- 	- 	Putative inhibitor of glucose uptake transporter SgrT
23 	prok_00070 	80059..80664 	- 	606 	leuD 	prok_00070 	- 	- 	3-isopropylmalate dehydratase small subunit
23 	prok_00071 	80675..82075 	- 	1401 	leuC 	prok_00071 	- 	- 	3-isopropylmalate dehydratase large subunit
23 	prok_00072 	82078..83169 	- 	1092 	leuB 	prok_00072 	- 	- 	3-isopropylmalate dehydrogenase
23 	prok_00073 	83169..84740 	- 	1572 	leuA 	prok_00073 	- 	- 	2-isopropylmalate synthase
24 	prok_00074 	85576..86520 	+ 	945 	leuO 	prok_00074 	- 	- 	HTH-type transcriptional regulator LeuO
25 	prok_00075 	86838..88562 	+ 	1725 	ilvI 	prok_00075 	- 	- 	Acetolactate synthase isozyme 3 large subunit
25 	prok_00076 	88565..89056 	+ 	492 	ilvH 	prok_00076 	- 	- 	Acetolactate synthase isozyme 3 small subunit
26 	prok_00077 	89236..90240 	+ 	1005 	cra 	prok_00077 	- 	- 	Fructose repressor
27 	prok_00078 	90842..91300 	+ 	459 	- 	prok_00078 	- 	- 	cell division protein MraZ
27 	prok_00079 	91302..92243 	+ 	942 	rsmH 	prok_00079 	- 	- 	Ribosomal RNA small subunit methyltransferase H
27 	prok_00080 	92240..92605 	+ 	366 	ftsL 	prok_00080 	- 	- 	Cell division protein FtsL
27 	prok_00081 	92621..94387 	+ 	1767 	ftsI 	prok_00081 	- 	- 	Peptidoglycan synthase FtsI precursor
27 	prok_00082 	94374..95861 	+ 	1488 	murE 	prok_00082 	- 	- 	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
27 	prok_00083 	95858..97216 	+ 	1359 	murF 	prok_00083 	- 	- 	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
27 	prok_00084 	97210..98292 	+ 	1083 	mraY 	prok_00084 	- 	- 	Phospho-N-acetylmuramoyl-pentapeptide- transferase
27 	prok_00085 	98295..99611 	+ 	1317 	murD 	prok_00085 	- 	- 	UDP-N-acetylmuramoylalanine--D-glutamate ligase
27 	prok_00086 	99611..100855 	+ 	1245 	ftsW 	prok_00086 	- 	- 	Cell division protein FtsW
27 	prok_00087 	100852..101919 	+ 	1068 	murG 	prok_00087 	- 	- 	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
27 	prok_00088 	101973..103448 	+ 	1476 	murC 	prok_00088 	- 	- 	UDP-N-acetylmuramate--L-alanine ligase
27 	prok_00089 	103441..104361 	+ 	921 	ddlB 	prok_00089 	- 	- 	D-alanine--D-alanine ligase B
27 	prok_00090 	104363..105193 	+ 	831 	ftsQ 	prok_00090 	- 	- 	Cell division protein FtsQ
27 	prok_00091 	105190..106452 	+ 	1263 	ftsA_1 	prok_00091 	- 	- 	Cell division protein FtsA
27 	prok_00092 	106513..107664 	+ 	1152 	ftsZ 	prok_00092 	- 	- 	Cell division protein FtsZ
27 	prok_00093 	107765..108682 	+ 	918 	lpxC 	prok_00093 	- 	- 	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
27 	prok_00094 	108837..109424 	+ 	588 	secM 	prok_00094 	- 	- 	Secretion monitor precursor
27 	prok_00095 	109486..112191 	+ 	2706 	- 	prok_00095 	- 	- 	preprotein translocase subunit SecA
27 	prok_00096 	112251..112649 	+ 	399 	mutT 	prok_00096 	- 	- 	8-oxo-dGTP diphosphatase
28 	prok_00097 	112737..112934 	- 	198 	yacG 	prok_00097 	- 	- 	DNA gyrase inhibitor YacG
28 	prok_00098 	112944..113687 	- 	744 	zapD 	prok_00098 	- 	- 	Z ring-associated protein D
28 	prok_00099 	113687..114307 	- 	621 	coaE 	prok_00099 	- 	- 	Dephospho-CoA kinase
29 	prok_00100 	114532..115575 	+ 	1044 	guaC 	prok_00100 	- 	- 	GMP reductase
30 	prok_00101 	115610..116812 	- 	1203 	epsF_1 	prok_00101 	- 	- 	General secretion pathway protein F
30 	prok_00102 	116802..118187 	- 	1386 	epsE_1 	prok_00102 	- 	- 	Type II traffic warden ATPase
30 	prok_00103 	118197..118637 	- 	441 	pilE1 	prok_00103 	- 	- 	Pilin
31 	prok_00104 	118841..119734 	- 	894 	nadC_1 	prok_00104 	- 	- 	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
32 	prok_00105 	119822..120373 	+ 	552 	ampD 	prok_00105 	- 	- 	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
32 	prok_00106 	120370..121224 	+ 	855 	- 	prok_00106 	- 	- 	regulatory protein AmpE
33 	prok_00107 	121267..122637 	- 	1371 	aroP_1 	prok_00107 	- 	- 	General aromatic amino acid permease
34 	prok_00108 	123165..124946 	+ 	1782 	pys2 	prok_00108 	- 	- 	Pyocin-S2
34 	prok_00109 	124952..125242 	+ 	291 	imm_1 	prok_00109 	- 	- 	Microcin-E7 immunity protein
35 	prok_00110 	125640..125933 	+ 	294 	imm_2 	prok_00110 	- 	- 	Microcin-E7 immunity protein
36 	prok_00111 	126331..126621 	+ 	291 	imm_3 	prok_00111 	- 	- 	Microcin-E7 immunity protein
37 	prok_00112 	127077..127841 	+ 	765 	pdhR_1 	prok_00112 	- 	- 	Pyruvate dehydrogenase complex repressor
37 	prok_00113 	128002..130665 	+ 	2664 	aceE 	prok_00113 	- 	- 	Pyruvate dehydrogenase E1 component
37 	prok_00114 	130680..132572 	+ 	1893 	aceF 	prok_00114 	- 	- 	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
38 	prok_00115 	132780..134204 	+ 	1425 	lpdA 	prok_00115 	- 	- 	Dihydrolipoyl dehydrogenase
39 	prok_00116 	134446..136191 	- 	1746 	- 	prok_00116 	- 	- 	hypothetical protein
40 	prok_00117 	136546..139143 	+ 	2598 	acnB 	prok_00117 	- 	- 	Aconitate hydratase 2
40 	prok_00118 	139318..139680 	+ 	363 	- 	prok_00118 	- 	- 	hypothetical protein
41 	prok_00119 	139718..140512 	- 	795 	speD 	prok_00119 	- 	- 	S-adenosylmethionine decarboxylase proenzyme precursor
41 	prok_00120 	140528..141394 	- 	867 	speE 	prok_00120 	- 	- 	Spermidine synthase
41 	prok_00121 	141500..141808 	- 	309 	- 	prok_00121 	- 	- 	lipoprotein, PulS/OutS family
42 	prok_00122 	142013..143563 	+ 	1551 	cueO 	prok_00122 	- 	- 	Copper efflux oxidase
43 	prok_00123 	143828..146218 	- 	2391 	gcd 	prok_00123 	- 	- 	Quinoprotein glucose dehydrogenase
44 	prok_00124 	146412..146960 	+ 	549 	hpt 	prok_00124 	- 	- 	Hypoxanthine phosphoribosyltransferase
45 	prok_00125 	147001..147663 	- 	663 	can 	prok_00125 	- 	- 	Carbonic anhydrase 2
46 	prok_00126 	147772..148698 	+ 	927 	drrA 	prok_00126 	- 	- 	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
46 	prok_00127 	148695..149465 	+ 	771 	yadH 	prok_00127 	- 	- 	Inner membrane transport permease YadH
46 	prok_00128 	149570..150010 	+ 	441 	- 	prok_00128 	- 	- 	PTS system mannose-specific transporter subunits IIAB
46 	prok_00129 	150074..151303 	+ 	1230 	icaB 	prok_00129 	- 	- 	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase precursor
47 	prok_00130 	151307..151687 	- 	381 	panD 	prok_00130 	- 	- 	Aspartate 1-decarboxylase precursor
48 	prok_00131 	151961..152845 	+ 	885 	- 	prok_00131 	- 	- 	putative transposase
49 	prok_00132 	152927..153778 	- 	852 	panC 	prok_00132 	- 	- 	Pantothenate synthetase
49 	prok_00133 	153790..154584 	- 	795 	panB 	prok_00133 	- 	- 	3-methyl-2-oxobutanoate hydroxymethyltransferase
49 	prok_00134 	154696..155958 	- 	1263 	- 	prok_00134 	- 	- 	putative fimbrial-like adhesin protein
49 	prok_00135 	156008..156604 	- 	597 	- 	prok_00135 	- 	- 	putative fimbrial protein StaF
49 	prok_00136 	156631..157239 	- 	609 	- 	prok_00136 	- 	- 	putative fimbrial protein StaE
49 	prok_00137 	157251..157817 	- 	567 	- 	prok_00137 	- 	- 	putative fimbrial protein StaD
49 	prok_00138 	157834..160422 	- 	2589 	htrE_1 	prok_00138 	- 	- 	Heat shock protein E
49 	prok_00139 	160457..161197 	- 	741 	ecpD_1 	prok_00139 	- 	- 	Chaperone protein EcpD precursor
49 	prok_00140 	161306..161896 	- 	591 	- 	prok_00140 	- 	- 	putative fimbrial protein StaA
50 	prok_00141 	162260..162739 	- 	480 	folK 	prok_00141 	- 	- 	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
50 	prok_00142 	162736..164100 	- 	1365 	pcnB 	prok_00142 	- 	- 	Poly(A) polymerase I precursor
50 	prok_00143 	164193..165119 	- 	927 	gluQ 	prok_00143 	- 	- 	Glutamyl-Q tRNA(Asp) synthetase
50 	prok_00144 	165156..165611 	- 	456 	dksA 	prok_00144 	- 	- 	DnaK suppressor protein
51 	prok_00145 	165789..166493 	- 	705 	sfsA 	prok_00145 	- 	- 	Sugar fermentation stimulation protein A
51 	prok_00146 	166508..167038 	- 	531 	ligT 	prok_00146 	- 	- 	2'-5'-RNA ligase
52 	prok_00147 	167112..169541 	+ 	2430 	hrpB_1 	prok_00147 	- 	- 	ATP-dependent RNA helicase HrpB
52 	prok_00148 	169635..172169 	+ 	2535 	mrcB 	prok_00148 	- 	- 	Murein polymerase
53 	prok_00149 	172389..173732 	+ 	1344 	fhuA_1 	prok_00149 	- 	- 	Ferric hydroxamate uptake
53 	prok_00150 	173820..174632 	+ 	813 	fhuA_2 	prok_00150 	- 	- 	Ferric hydroxamate uptake
53 	prok_00151 	174683..175480 	+ 	798 	fhuC 	prok_00151 	- 	- 	Iron(3+)-hydroxamate import ATP-binding protein FhuC
53 	prok_00152 	175480..176370 	+ 	891 	fhuD_1 	prok_00152 	- 	- 	Iron(III)-hydroxamate-binding protein FhuD
53 	prok_00153 	176367..178349 	+ 	1983 	fhuB 	prok_00153 	- 	- 	Iron(III)-hydroxamate import system permease protein FhuB
54 	prok_00154 	178384..179664 	- 	1281 	hemL 	prok_00154 	- 	- 	Glutamate-1-semialdehyde 2,1-aminomutase
55 	prok_00155 	179889..181310 	+ 	1422 	clcA 	prok_00155 	- 	- 	H(+)/Cl(-) exchange transporter ClcA
55 	prok_00156 	181392..181736 	+ 	345 	erpA 	prok_00156 	- 	- 	Iron-sulfur cluster insertion protein ErpA
56 	prok_00157 	181783..182406 	- 	624 	- 	prok_00157 	- 	- 	putative membrane protein
56 	prok_00158 	182444..183244 	- 	801 	btuF 	prok_00158 	- 	- 	Vitamin B12-binding protein precursor
56 	prok_00159 	183237..183935 	- 	699 	mtnN 	prok_00159 	- 	- 	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
57 	prok_00160 	184019..185536 	+ 	1518 	dgt 	prok_00160 	- 	- 	Deoxyguanosinetriphosphate triphosphohydrolase
57 	prok_00161 	185666..187090 	+ 	1425 	degP 	prok_00161 	- 	- 	Periplasmic serine endoprotease DegP precursor
57 	prok_00162 	187245..188402 	+ 	1158 	cdaR 	prok_00162 	- 	- 	Sugar diacid regulator
58 	prok_00163 	188455..188841 	- 	387 	- 	prok_00163 	- 	- 	hypothetical protein
59 	prok_00164 	189160..189984 	- 	825 	dapD 	prok_00164 	- 	- 	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
59 	prok_00165 	190015..192687 	- 	2673 	- 	prok_00165 	- 	- 	PII uridylyl-transferase
59 	prok_00166 	192749..193543 	- 	795 	map 	prok_00166 	- 	- 	Methionine aminopeptidase
60 	prok_00167 	193911..194636 	+ 	726 	rpsB 	prok_00167 	- 	- 	30S ribosomal protein S2
60 	prok_00168 	194771..195622 	+ 	852 	tsf 	prok_00168 	- 	- 	Elongation factor Ts
60 	prok_00169 	195769..196494 	+ 	726 	pyrH 	prok_00169 	- 	- 	Uridylate kinase
60 	prok_00170 	196644..197201 	+ 	558 	frr 	prok_00170 	- 	- 	Ribosome-releasing factor
60 	prok_00171 	197293..198489 	+ 	1197 	dxr 	prok_00171 	- 	- 	1-deoxy-D-xylulose 5-phosphate reductoisomerase
61 	prok_00172 	198678..199436 	+ 	759 	ispU 	prok_00172 	- 	- 	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
61 	prok_00173 	199436..199588 	+ 	153 	- 	prok_00173 	- 	- 	hypothetical protein
61 	prok_00174 	199557..200306 	+ 	750 	cdsA_1 	prok_00174 	- 	- 	Phosphatidate cytidylyltransferase
61 	prok_00175 	200318..201670 	+ 	1353 	rseP 	prok_00175 	- 	- 	Regulator of sigma E protease
61 	prok_00176 	201700..204132 	+ 	2433 	bamA 	prok_00176 	- 	- 	Outer membrane protein assembly factor BamA precursor
61 	prok_00177 	204254..204739 	+ 	486 	skp 	prok_00177 	- 	- 	Seventeen kilodalton protein
61 	prok_00178 	204743..205768 	+ 	1026 	lpxD 	prok_00178 	- 	- 	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
61 	prok_00179 	205873..206328 	+ 	456 	fabZ 	prok_00179 	- 	- 	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
61 	prok_00180 	206332..207120 	+ 	789 	lpxA 	prok_00180 	- 	- 	Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
61 	prok_00181 	207120..208268 	+ 	1149 	lpxB 	prok_00181 	- 	- 	Lipid-A-disaccharide synthase
61 	prok_00182 	208265..208861 	+ 	597 	rnhB 	prok_00182 	- 	- 	Ribonuclease HII
