og	pval	id	contig	start	stop	pos
OG0000000:	1	LF82|265|Putative_prophage_CPS-53_integrase|NC_011993|299737|300075	NC_011993	299737	300075	299906
OG0000000:	1	LF82|1904|Prophage_CP4-57_integrase|NC_011993|2007910|2009172	NC_011993	2007910	2009172	2008541
OG0000000:	1	LF82|1926|Prophage_CP4-57_integrase|NC_011993|2052036|2053109	NC_011993	2052036	2053109	2052572.5
OG0000000:	1	LF82|1927|integrase|NC_011993|2053134|2053298	NC_011993	2053134	2053298	2053216
OG0000002:	1	LF82|2502|putative_transposase_OrfB|NC_011993|2704815|2705417	NC_011993	2704815	2705417	2705116
OG0000003:	1	LF82|1432|Outer_membrane_usher_protein_FimD_precursor|NC_011993|1540946|1543597	NC_011993	1540946	1543597	1542271.5
OG0000003:	1	LF82|3364|putative_outer_membrane_usher_protein_ElfC_precursor|NC_011993|3605483|3608077	NC_011993	3605483	3608077	3606780
OG0000003:	1	LF82|4305|Outer_membrane_usher_protein_FimD_precursor|NC_011993|4663245|4665881	NC_011993	4663245	4665881	4664563
OG0000004:	0.331428571428571	LF82|1393|Transposase|NC_011993|1494446|1494817	NC_011993	1494446	1494817	1494631.5
OG0000004:	0.331428571428571	LF82|1935|Transposase|NC_011993|2058414|2059550	NC_011993	2058414	2059550	2058982
OG0000004:	0.331428571428571	LF82|236|Transposase|NC_011993|273857|274036	NC_011993	273857	274036	273946.5
OG0000004:	0.331428571428571	LF82|237|Transposase|NC_011993|274136|274621	NC_011993	274136	274621	274378.5
OG0000007:	0.656330617353324	LF82|268|Transposase|NC_011993|305883|306098	NC_011993	305883	306098	305990.5
OG0000009:	0.491764705882353	LF82|2539|DNA-invertase_hin|NC_011993|2743885|2744451	NC_011993	2743885	2744451	2744168
OG0000009:	0.491764705882353	LF82|1476|Putative_DNA-invertase_from_lambdoid_prophage_Rac|NC_011993|1585260|1585850	NC_011993	1585260	1585850	1585555
OG0000010:	0.216470588235294	LF82|1948|PTS_system_galactitol-specific_EIIC_component|NC_011993|2076613|2077983	NC_011993	2076613	2077983	2077298
OG0000010:	0.216470588235294	LF82|1943|PTS_system_galactitol-specific_EIIC_component|NC_011993|2072601|2073854	NC_011993	2072601	2073854	2073227.5
OG0000010:	0.216470588235294	LF82|3422|PTS_system_galactitol-specific_EIIC_component|NC_011993|3666060|3667418	NC_011993	3666060	3667418	3666739
OG0000010:	0.216470588235294	LF82|2054|PTS_system_galactitol-specific_EIIC_component|NC_011993|2191669|2193024	NC_011993	2191669	2193024	2192346.5
OG0000012:	0.595486194477791	LF82|1130|Fibronectin_type_III_protein|NC_011993|1210779|1214192	NC_011993	1210779	1214192	1212485.5
OG0000012:	0.595486194477791	LF82|1481|Fibronectin_type_III_protein|NC_011993|1590178|1593591	NC_011993	1590178	1593591	1591884.5
OG0000013:	0.707133917396746	LF82|228|baseplate_hub_subunit_and_tail_lysozyme|NC_011993|263447|265789	NC_011993	263447	265789	264618
OG0000013:	0.707133917396746	LF82|1394|baseplate_hub_subunit_and_tail_lysozyme|NC_011993|1495556|1497961	NC_011993	1495556	1497961	1496758.5
OG0000013:	0.707133917396746	LF82|232|type_VI_secretion_system_Vgr_family_protein|NC_011993|268767|270749	NC_011993	268767	270749	269758
OG0000013:	0.707133917396746	LF82|1388|type_VI_secretion_system_Vgr_family_protein|NC_011993|1488424|1490388	NC_011993	1488424	1490388	1489406
OG0000014:	1	LF82|282|D-malate_degradation_protein_R|NC_011993|321634|322527	NC_011993	321634	322527	322080.5
OG0000014:	1	LF82|1437|D-malate_degradation_protein_R|NC_011993|1546981|1547709	NC_011993	1546981	1547709	1547345
OG0000014:	1	LF82|1319|D-malate_degradation_protein_R|NC_011993|1405840|1406739	NC_011993	1405840	1406739	1406289.5
OG0000016:	1	LF82|2672|small_toxic_polypeptide|NC_011993|2863716|2863868	NC_011993	2863716	2863868	2863792
OG0000016:	1	LF82|513|small_toxic_polypeptide|NC_011993|581402|581653	NC_011993	581402	581653	581527.5
OG0000016:	1	LF82|514|small_toxic_polypeptide|NC_011993|582005|582157	NC_011993	582005	582157	582081
OG0000017:	0.533919598903632	LF82|4152|Antirestriction_protein_KlcA|NC_011993|4495648|4496046	NC_011993	4495648	4496046	4495847
OG0000019:	1	LF82|1403|Respiratory_nitrate_reductase_2_beta_chain|NC_011993|1504448|1505992	NC_011993	1504448	1505992	1505220
OG0000019:	1	LF82|1211|Respiratory_nitrate_reductase_1_beta_chain|NC_011993|1293237|1294775	NC_011993	1293237	1294775	1294006
OG0000020:	0.35390156062425	LF82|916|Bacteriophage_lysis_protein|NC_011993|1016670|1017107	NC_011993	1016670	1017107	1016888.5
OG0000020:	0.35390156062425	LF82|1107|Bacteriophage_lysis_protein|NC_011993|1192910|1193371	NC_011993	1192910	1193371	1193140.5
OG0000022:	1	LF82|1506|Lysis_protein_S|NC_011993|1612965|1613171	NC_011993	1612965	1613171	1613068
OG0000022:	1	LF82|1103|Lysis_protein_S|NC_011993|1191475|1191690	NC_011993	1191475	1191690	1191582.5
OG0000023:	1	LF82|4024|Regulatory_protein_SoxS|NC_011993|4365198|4365521	NC_011993	4365198	4365521	4365359.5
OG0000023:	1	LF82|1457|Multiple_antibiotic_resistance_protein_MarA|NC_011993|1565943|1566326	NC_011993	1565943	1566326	1566134.5
OG0000024:	1	LF82|2851|EIICBA-Mtl|NC_011993|3075308|3076696	NC_011993	3075308	3076696	3076002
OG0000024:	1	LF82|3545|EIICBA-Mtl|NC_011993|3811461|3813374	NC_011993	3811461	3813374	3812417.5
OG0000026:	1	LF82|1213|Respiratory_nitrate_reductase_1_gamma_chain|NC_011993|1295482|1296159	NC_011993	1295482	1296159	1295820.5
OG0000026:	1	LF82|1401|Respiratory_nitrate_reductase_2_gamma_chain|NC_011993|1503076|1503756	NC_011993	1503076	1503756	1503416
OG0000028:	0.216470588235294	LF82|14|small_toxic_polypeptide|NC_011993|15129|15281	NC_011993	15129	15281	15205
OG0000028:	0.216470588235294	LF82|1512|small_toxic_polypeptide|NC_011993|1618950|1619162	NC_011993	1618950	1619162	1619056
OG0000029:	1	LF82|2802|Putative_permease_YjcD|NC_011993|3028127|3029494	NC_011993	3028127	3029494	3028810.5
OG0000029:	1	LF82|4026|Putative_permease_YjcD|NC_011993|4366617|4367966	NC_011993	4366617	4367966	4367291.5
OG0000030:	1	LF82|3209|Acriflavine_resistance_protein_B|NC_011993|3458292|3461396	NC_011993	3458292	3461396	3459844
OG0000030:	1	LF82|428|Acriflavine_resistance_protein_B|NC_011993|484567|487716	NC_011993	484567	487716	486141.5
OG0000032:	1	LF82|1404|Respiratory_nitrate_reductase_2_alpha_chain|NC_011993|1505989|1509729	NC_011993	1505989	1509729	1507859
OG0000032:	1	LF82|1210|Respiratory_nitrate_reductase_1_alpha_chain|NC_011993|1289497|1293240	NC_011993	1289497	1293240	1291368.5
OG0000034:	1	LF82|4100|Lysine--tRNA_ligase	NA	NA	NA	NA
OG0000034:	1	_heat_inducible|NC_011993|4445369|4446886	4446886	NA	NA	NA
OG0000034:	1	LF82|2808|Lysine--tRNA_ligase|NC_011993|3034662|3036179	NC_011993	3034662	3036179	3035420.5
OG0000035:	0.35390156062425	LF82|1536|putative_dimethyl_sulfoxide_reductase_chain_YnfF_precursor|NC_011993|1638113|1638910	NC_011993	1638113	1638910	1638511.5
OG0000035:	0.35390156062425	LF82|1535|Putative_dimethyl_sulfoxide_reductase_chain_YnfE_precursor|NC_011993|1635599|1638025	NC_011993	1635599	1638025	1636812
OG0000035:	0.35390156062425	LF82|1537|putative_dimethyl_sulfoxide_reductase_chain_YnfF_precursor|NC_011993|1638929|1640461	NC_011993	1638929	1640461	1639695
OG0000037:	0.237647058823529	LF82|1099|Crossover_junction_endodeoxyribonuclease_RusA|NC_011993|1188646|1189008	NC_011993	1188646	1189008	1188827
OG0000037:	0.237647058823529	LF82|911|Crossover_junction_endodeoxyribonuclease_RusA|NC_011993|1014289|1014651	NC_011993	1014289	1014651	1014470
OG0000038:	1	LF82|2388|Transketolase_2|NC_011993|2565249|2567252	NC_011993	2565249	2567252	2566250.5
OG0000038:	1	LF82|2854|Transketolase_1|NC_011993|3078671|3080662	NC_011993	3078671	3080662	3079666.5
OG0000039:	0.693187913463258	LF82|1126|Phage-related_protein|NC_011993|1208374|1208703	NC_011993	1208374	1208703	1208538.5
OG0000039:	0.693187913463258	LF82|1484|Phage-related_protein|NC_011993|1595653|1595982	NC_011993	1595653	1595982	1595817.5
OG0000040:	1	LF82|3004|hypothetical_protein|NC_011993|3240418|3241467	NC_011993	3240418	3241467	3240942.5
OG0000040:	1	LF82|629|hypothetical_protein|NC_011993|709319|709561	NC_011993	709319	709561	709440
OG0000041:	1	LF82|3342|putative_transposase|NC_011993|3580153|3580746	NC_011993	3580153	3580746	3580449.5
OG0000041:	1	LF82|2265|putative_transposase|NC_011993|2431260|2432150	NC_011993	2431260	2432150	2431705
OG0000042:	0.154400418443077	LF82|2501|Transposase|NC_011993|2704167|2704571	NC_011993	2704167	2704571	2704369
OG0000042:	0.154400418443077	LF82|2500|hypothetical_protein|NC_011993|2703919|2704143	NC_011993	2703919	2704143	2704031
OG0000042:	0.154400418443077	LF82|2499|hypothetical_protein|NC_011993|2703605|2703781	NC_011993	2703605	2703781	2703693
OG0000044:	1	LF82|1434|Type-1A_pilin|NC_011993|1544711|1545274	NC_011993	1544711	1545274	1544992.5
OG0000044:	1	LF82|4302|Type-1A_pilin|NC_011993|4661259|4661813	NC_011993	4661259	4661813	4661536
OG0000046:	1	LF82|1318|hypothetical_protein|NC_011993|1404782|1405702	NC_011993	1404782	1405702	1405242
OG0000046:	1	LF82|280|hypothetical_protein|NC_011993|319431|320351	NC_011993	319431	320351	319891
OG0000047:	0.450527445020561	LF82|1127|phage_minor_tail_protein_L|NC_011993|1208703|1209401	NC_011993	1208703	1209401	1209052
OG0000047:	0.450527445020561	LF82|1483|phage_minor_tail_protein_L|NC_011993|1594945|1595643	NC_011993	1594945	1595643	1595294
OG0000048:	0.485295157152421	LF82|3193|2-dehydro-3-deoxygluconokinase|NC_011993|3443088|3444050	NC_011993	3443088	3444050	3443569
OG0000048:	0.485295157152421	LF82|3199|2-dehydro-3-deoxygluconokinase|NC_011993|3449585|3450541	NC_011993	3449585	3450541	3450063
OG0000049:	1	LF82|3485|Small_toxic_polypeptide_LdrD|NC_011993|3745185|3745292	NC_011993	3745185	3745292	3745238.5
OG0000050:	1	LF82|1767|Transposase|NC_011993|1875723|1876181	NC_011993	1875723	1876181	1875952
OG0000050:	1	LF82|1928|Transposase|NC_011993|2053437|2053895	NC_011993	2053437	2053895	2053666
OG0000051:	0.472841051314143	LF82|676|putative_transposase|NC_011993|760415|761545	NC_011993	760415	761545	760980
OG0000052:	0.718031260005239	LF82|1129|Phage-related_protein	NA	NA	NA	NA
OG0000052:	0.718031260005239	_tail_component|NC_011993|1210146|1210718	1210718	NA	NA	NA
OG0000052:	0.718031260005239	LF82|1482|Phage-related_protein	NA	NA	NA	NA
OG0000052:	0.718031260005239	_tail_component|NC_011993|1593652|1594299	1594299	NA	NA	NA
OG0000053:	1	LF82|1249|Stress-induced_bacterial_acidophilic_repeat_motif|NC_011993|1330738|1330917	NC_011993	1330738	1330917	1330827.5
OG0000053:	1	LF82|950|Stress-induced_bacterial_acidophilic_repeat_motif|NC_011993|1048446|1048619	NC_011993	1048446	1048619	1048532.5
